Property_ID,Host_ID,Listing_Name,Location,Total_Reviews,Positive_Reviews,Negative_Reviews,Avg_Sentiment_Score,Cleanliness_Rating,Communication_Rating,Checkin_Rating,Location_Rating,Value_Rating,Advantages,Disadvantages,Suggestions,Suggestion_Sources
725797228996955157,60047320,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,44,4,0.843,4.8,4.9,4.9,5.0,4.7,Highly Recommend (12x); Walkable (8x); Great Location (8x); Well Equipped (6x); Great Host (6x),Smell Issues (2x); Bugs Pests (2x),"[Smell Issues]: Everyone has a different sense of smell. Strong scents of any kind can be off-putting to guests. Trying to mask odors with bleach, air fresheners, or other solutions usually doesn’t work, Diana says. || [Bugs Pests]: Cleanliness: Did the home meet our standards? (It should be free of health hazards like mold and pests. It should also be free of extensive dust, pet dander, dirty dishes, etc.).",Clean like a pro with these expert tips - Resource Center - Airbnb | Ratings for homes - Airbnb Help Center
2775807,14196215,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,0.999,5.0,5.0,5.0,4.9,4.9,Responsive Host (18x); Highly Recommend (14x); Spacious (14x); Great Location (12x); Very Comfortable (11x),No issues identified,No issues identified - keep up the great work!,
36276450,272834583,"Room in Paris, France","Paris, Île-de-France, France",48,48,0,1.0,4.9,5.0,4.9,5.0,4.9,Highly Recommend (21x); Great Location (12x); Responsive Host (8x); Very Comfortable (7x); Walkable (7x),No issues identified,No issues identified - keep up the great work!,
11597982,10839221,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,46,2,0.888,4.6,4.7,4.7,4.8,4.6,Responsive Host (12x); Walkable (6x); Highly Recommend (6x); Quiet Area (4x); Will Return (4x),Noise Street (2x); Hard To Find (2x),"[Noise Street]: Location. How did the guest feel about the area and neighborhood? || [Hard To Find]: Directions and transportation: Confirm the address of a home, with instructions for getting there.",Using quick replies to save time - Resource Center - Airbnb | Why reviews matter - Resource Center - Airbnb
53911730,222375907,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,46,2,0.908,4.5,4.6,4.6,5.0,4.5,Great Location (21x); Responsive Host (7x); Highly Recommend (7x); Very Comfortable (6x); Spacious (6x),Noise General (2x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",How to become a Superhost - Resource Center - Airbnb
1029473365084660061,421961959,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,0.999,4.9,4.9,4.9,5.0,4.7,Responsive Host (11x); Very Comfortable (10x); Great Location (9x); Will Return (6x); Quiet Area (5x),No issues identified,No issues identified - keep up the great work!,
538732117805571802,91419819,"Room in Paris, France","Paris, Île-de-France, France",48,44,4,0.838,4.7,4.7,4.7,4.8,4.5,Walkable (11x); Responsive Host (10x); Spacious (6x); Very Comfortable (4x); Great Host (4x),Noise Street (2x); Dirty Bathroom (1x),"[Noise Street]: Location. How did the guest feel about the area and neighborhood? || [Dirty Bathroom]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water",Confirming amenities - Airbnb Help Center | Why reviews matter - Resource Center - Airbnb
13365586,75864321,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,44,4,0.833,4.9,5.0,5.0,5.0,4.8,Responsive Host (11x); Highly Recommend (10x); Walkable (9x); Beautiful Place (6x); Will Return (6x),Noise General (1x); Too Small (1x); Too Hot (1x),"[Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy. || [Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews. || [Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay.",Fire and carbon monoxide safety - Airbnb Help Center | How to become a Superhost - Resource Center - Airbnb | The amenities guests want - Resource Center - Airbnb
866478072545360812,79608356,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,42,6,0.748,4.7,4.9,4.9,5.0,4.8,Responsive Host (20x); Walkable (14x); Great Location (12x); Highly Recommend (6x); Very Clean (6x),Wifi Issues (6x); Dirty General (4x); Noise Street (2x); Dirty Bathroom (2x); Smell Issues (2x),"[Wifi Issues]: Wifi: Provide the wifi network and password at your home or location. || [Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Noise Street]: Location. How did the guest feel about the area and neighborhood?",Using quick replies to save time - Resource Center - Airbnb | How to take great photos for your listing - Resource Center - Airbnb | Why reviews matter - Resource Center - Airbnb
39027136,153716503,"Entire rental unit in Paris, France","Paris, Île-de-France, France",48,48,0,1.0,5.0,5.0,5.0,5.0,4.9,Highly Recommend (12x); Very Comfortable (10x); Perfect Stay (8x); Responsive Host (8x); Will Return (8x),Hard To Find (2x); Noise General (2x),"[Hard To Find]: Directions and transportation: Confirm the address of a home, with instructions for getting there. || [Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",Using quick replies to save time - Resource Center - Airbnb | How to become a Superhost - Resource Center - Airbnb
